salary,gender,age,city,education,position,fields_of_activity,employment,work_schedule,friends_count,friends_median_age,friends_mid_age,groups_count,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,work_exp
70000.0,0,34.0,2,0,253,4,0,2,8.0,35.0,39.0,58.0,-0.0998194,-0.0246983,0.0938691,-0.76644,-0.123494,-0.181503,-0.0194056,-0.10611500000000001,-1.3403399999999999,0.672758,0.259292,-0.423833,-0.33405,-0.460689,-0.780629,-0.35919,-0.46858500000000003,-0.208252,-0.00167615,-0.18118599999999999,0.47903999999999997,0.0957382,-0.024412599999999996,-0.10734300000000001,0.0267315,0.339134,0.472174,-0.575044,0.122352,-0.9038149999999999,-0.24890700000000002,-0.347883,0.582518,0.169876,0.206384,-0.183351,-0.22226300000000002,-0.512791,0.317733,-0.0795757,-0.976959,-0.428262,0.41595699999999997,0.759938,-0.6385149999999999,0.323975,0.74275,-0.443338,0.011487200000000001,0.245662,0.00984738,-0.527742,-0.371436,0.593596,0.737147,0.30458,0.658502,0.512296,-0.179258,-0.48471099999999995,0.403069,-0.23956,0.452912,-0.305517,0.562084,-0.40110300000000004,0.0440518,0.125157,-0.24823299999999998,0.207931,0.05819940000000001,0.139034,0.683582,0.254402,0.359646,-0.101921,-0.0104648,-0.6444310000000001,-0.00339423,-0.053135,-0.0586352,0.169467,-0.18295699999999998,0.12884400000000001,0.308921,0.5260630000000001,-0.311449,-0.055765999999999996,-0.35126399999999997,0.210412,0.32469699999999996,-0.00704173,0.0922763,0.296511,0.0256142,0.166249,-0.0491943,0.142546,-0.517054,-0.240576,132.0
120000.0,1,31.0,2,0,181,1,2,2,24.0,32.0,32.0,23.0,-0.370586,-0.210946,0.421526,-0.5795399999999999,-0.298033,-0.167224,0.0251543,0.0293986,-1.15539,0.30105,-0.155825,-0.761313,0.13259100000000001,-0.36715,-0.8720899999999999,-0.125824,-0.192338,0.127869,0.0869646,-0.101147,0.397177,0.30205,-0.011236,0.0375319,0.167095,0.596345,0.440885,-0.21485100000000001,0.4262220000000001,-0.368483,-0.5162640000000001,-0.288665,0.788273,0.0951697,0.104277,-0.290364,-0.8039029999999999,-0.306647,0.305263,-0.200969,-0.7347640000000001,-0.700461,0.157353,0.41961499999999996,-0.07684099999999999,0.422361,0.471364,-0.057098199999999995,-0.138502,0.31116900000000003,-0.109146,-0.408235,-0.518131,0.5301359999999999,0.599947,0.248234,0.285978,0.466721,-0.0866248,-0.0104116,0.323592,-0.0288272,-0.0250935,0.07224580000000001,0.468732,-0.49622299999999997,0.00417269,-0.0108176,0.41545200000000004,0.134328,-0.35442399999999996,0.501536,0.48601300000000003,0.14153,0.21210900000000002,0.310843,0.046012199999999996,-0.70095,-0.20918299999999998,-0.00485077,-0.16176600000000002,0.173111,-0.158368,0.153529,0.0660023,0.0102198,0.0378702,0.08222339999999999,0.0581418,0.787086,0.24857600000000002,-0.062011699999999996,0.14885299999999999,0.5072800000000001,-0.0976229,0.292602,0.14239200000000002,0.208817,-0.532466,-0.473386,103.0
30000.0,0,24.0,1,0,1311,13,0,1,110.0,26.0,27.0,145.0,-0.033963400000000005,-0.369965,-0.307869,-0.989799,0.153373,-0.5850350000000001,-0.16480899999999998,0.17059000000000002,-1.61107,1.1365,-0.104751,-0.23200300000000001,-0.0439547,-0.303663,-0.519892,0.0197985,-0.466199,-0.175016,0.171182,-0.22219299999999997,0.9848959999999999,0.352559,-0.235698,-0.33377199999999996,-0.270675,0.6601899999999999,0.626624,0.157801,0.694098,-0.647401,-0.533066,0.141684,0.7033739999999999,-0.0646423,-0.07884880000000001,-0.555451,-0.8368549999999999,-0.030333799999999998,0.15087,0.106893,-0.860043,-0.572368,0.591625,0.615363,-0.185315,1.08921,0.801161,-0.913731,-0.08118380000000001,0.469865,-0.533997,-0.480839,-0.436885,0.691098,0.941833,0.044407999999999996,0.476603,0.721091,0.040513099999999996,-0.532996,0.8490850000000001,0.179768,0.345785,0.079377,0.5763,-0.6817350000000001,0.22524299999999997,-0.523083,0.184619,0.0504346,-0.17188399999999998,0.0361211,0.38239,-0.30601999999999996,0.297106,0.18970499999999998,-0.255128,-0.813342,0.00894035,-0.374881,-0.363185,-0.016263999999999997,-0.326006,0.303537,0.535101,0.243662,-0.435672,-0.22293000000000002,-0.0511212,0.250209,0.49497299999999994,0.176826,0.0830682,0.170479,0.173237,-0.379635,0.239483,-0.404644,-0.40025,0.244783,34.0
35000.0,0,26.0,2,0,1292,12,1,2,38.0,27.0,27.0,169.0,-0.454546,-0.679003,0.379251,-0.9481729999999999,0.158979,-0.2215,-0.0768655,0.376762,-1.5051299999999999,0.748869,-0.139796,0.179846,-0.229384,-0.528003,-0.25659499999999996,-0.348565,-0.386571,-0.7288789999999999,0.213798,0.21643400000000002,0.360734,0.140078,-0.419465,-0.557635,0.20291900000000002,0.285414,0.709411,-0.0282973,0.15073499999999998,-0.761069,0.04971880000000002,-0.10239,0.621747,0.321459,-0.151815,-0.471473,-0.31615,-0.21263200000000002,0.07468999999999999,-0.238709,-1.0905200000000002,-0.9470620000000001,0.635839,0.9487209999999999,-0.500834,0.757101,0.55189,-0.436485,-0.245175,0.393692,0.277776,-0.621603,-0.6765479999999999,0.313869,0.790509,-0.179281,0.296442,0.38881,-0.351365,-0.114157,0.475225,-0.49229399999999995,0.21983000000000005,0.08327760000000001,0.40944200000000003,-0.579383,-0.11436800000000001,0.218894,0.271805,-0.031828300000000004,-0.00694257,-0.124866,0.22120900000000002,0.31667199999999995,0.102718,-0.335921,-0.374131,-0.772668,-0.17306300000000002,0.0196043,-0.262295,-0.235765,-0.129165,-0.0312694,0.0706096,-0.17916600000000002,-0.552975,-0.23875100000000002,0.126387,0.423955,0.1405,-0.569468,0.394914,0.9405379999999999,-0.2928,0.146224,0.12346300000000004,0.180001,-0.2376280000000001,0.175128,104.0
35000.0,1,33.0,0,0,1796,12,0,1,136.0,33.0,32.0,114.0,-0.281574,-0.285542,0.188664,-0.444932,-0.48508599999999996,-0.36091100000000004,0.270719,-0.143045,-1.8853900000000001,0.00454535,0.05425700000000002,-0.526486,0.16085,-0.277827,-0.896226,-0.252498,-0.319411,-0.643378,0.0104176,-0.155386,0.975165,0.269986,-0.612308,-0.129247,-0.345856,0.804729,1.03609,-0.125694,0.343489,-0.664251,-0.15221700000000002,-0.42023699999999997,0.535706,0.0888404,-0.0139393,-0.045998500000000005,-0.781125,-0.400801,0.0394416,0.221352,-1.05677,-0.872193,0.164749,0.413662,-0.4143770000000001,0.4583430000000001,0.43134300000000003,-0.404522,0.31712199999999996,0.47091700000000003,0.5750529999999999,-0.514746,-0.281065,0.8805719999999999,0.744567,-0.41448100000000004,0.4577640000000001,0.249096,0.057874800000000004,0.0420161,0.507649,-0.43173599999999995,-0.353032,0.362762,0.45394300000000004,-0.592344,-0.272758,-0.0705118,-0.210729,0.369498,0.127276,0.5823659999999999,0.5414979999999999,-0.170742,0.11933699999999994,-0.42091300000000004,-0.0922905,-0.888318,0.128864,-0.304773,0.08345810000000001,-0.38528,-0.40019899999999997,-0.170626,0.07682230000000001,-0.19656099999999999,-0.10797899999999999,-0.0571852,-0.148095,-0.13334400000000002,-0.14005599999999999,0.267359,0.0655091,0.33829499999999996,-0.27634200000000003,0.028436000000000006,-0.132218,0.293858,-0.448488,-0.337457,176.0
40000.0,0,42.0,1,1,1115,1,0,1,66.0,34.0,34.0,23.0,-0.056246500000000005,-0.24673299999999998,0.24423899999999998,-0.303605,0.133939,-0.574228,-0.0603095,0.106454,-1.39726,0.8125680000000001,-0.319422,-0.580019,-0.12245,-0.2906,-0.555372,-0.0604475,-0.37449299999999996,-0.08414760000000003,0.29147,0.132731,0.743686,0.285887,-0.49257799999999996,0.124903,0.185548,0.7114090000000001,0.340907,-0.332861,0.21058400000000002,-0.48118599999999995,-0.224863,0.184763,0.6114970000000001,0.24246399999999999,-0.134914,-0.23481799999999997,-0.151391,-0.0118455,0.6029979999999999,0.044007,-0.5618449999999999,-0.547974,0.265569,0.697059,-0.433093,0.49737200000000004,0.656557,-0.436439,0.276163,0.162133,0.31335599999999997,-0.488469,-0.49338699999999996,0.676124,0.464958,-0.0184664,0.550034,0.594322,-0.0690761,0.341278,0.619941,-0.0990299,0.143778,0.730586,0.07629939999999999,-0.355694,0.64153,-0.136353,0.436083,0.509934,-0.081412,0.278819,0.31514699999999995,-0.13041,-0.0114445,0.413121,0.08634,-0.42967700000000003,0.040400099999999994,-0.410679,0.017761000000000002,-0.4376640000000001,-0.443197,0.115656,0.37858,0.192005,-0.388921,0.22283899999999998,-0.056682,-0.04372519999999999,-0.22032399999999996,-0.097309,0.0486715,0.311354,0.0243611,-0.578932,0.116006,-0.0826127,-0.152446,-0.129491,237.0
50000.0,0,23.0,2,0,583,18,0,1,36.0,25.0,28.0,28.0,-0.37761500000000003,-0.231508,0.276804,-0.579599,0.28996,-0.50788,-0.0483086,0.210892,-1.1667399999999999,0.54025,-0.262153,-0.654866,-0.23488499999999998,-0.749849,-0.46834899999999996,-0.0434894,-0.609613,-0.107617,0.00624386,-0.069053,0.9657870000000001,0.168428,-0.22944299999999998,-0.388386,0.00525115,0.287862,0.887091,-0.0859658,0.508387,-0.41179799999999994,0.14057,-0.597532,1.32221,0.202286,0.116177,-0.262421,-0.682287,0.28726599999999997,0.034625800000000005,-0.0465749,-0.8670889999999999,-0.8115020000000001,0.9001969999999999,0.738572,-0.4160720000000001,0.698669,0.6170329999999999,-0.11608800000000001,0.378677,0.221266,0.192894,-0.703705,-0.36248600000000003,0.416433,0.91548,0.12700899999999998,0.907841,-0.12005999999999999,0.0695057,0.029252499999999997,0.597032,-0.205542,0.653522,0.014640799999999999,0.497263,-0.366111,0.481221,-0.21118499999999998,0.283401,0.38235399999999997,0.0221021,0.4300560000000001,0.368066,-0.21159099999999997,-0.129353,0.227633,0.09703930000000001,-1.28862,-0.113473,-0.0439322,-0.583238,0.014155700000000004,0.143816,-0.28373899999999996,0.397467,0.0716201,-0.10994000000000001,-0.0592033,0.00755652,0.056811300000000016,0.44419899999999995,0.032446800000000005,0.12733599999999998,0.420074,-0.10103999999999999,0.304771,0.27628400000000003,0.595966,-0.320316,-0.0361165,16.0
25000.0,0,48.0,0,0,791,30,0,1,1.0,20.0,20.0,5.0,-0.113206,-0.471413,0.14211700000000002,-0.361701,-0.0794878,-0.25487,0.14025,0.0351522,-1.22767,0.6090810000000001,-0.206652,-0.455516,-0.0225266,-0.22217800000000001,-0.273488,-0.23914699999999997,-0.274266,-0.342354,0.233553,-0.0204003,0.5189010000000001,0.01275,-0.18345899999999998,-0.0938008,-0.23884299999999997,0.41323999999999994,0.262797,-0.226674,0.295822,-0.225106,-0.390013,-0.309291,0.6095659999999999,0.226642,0.028064,0.0350873,-0.670061,-0.122697,0.288732,0.016184999999999998,-0.7695609999999999,-0.797411,0.18495799999999998,0.364252,-0.4906100000000001,0.537698,0.433544,-0.519749,0.218034,0.438141,0.06989889999999999,-0.460128,-0.4739930000000001,0.604891,0.561246,0.127842,0.407909,0.53428,-0.26559699999999997,-0.0692331,0.602162,-0.13280699999999998,0.173594,0.310789,0.4886,-0.454529,0.06636489999999999,0.041633300000000005,0.4698310000000001,0.0596893,-0.0377602,0.182673,0.23307199999999997,-0.0179435,-0.176823,0.08069810000000001,0.133943,-0.666033,0.130998,-0.339357,-0.20369,-0.273179,-0.07729810000000001,0.0552851,0.23683200000000001,0.05454199999999999,-0.313487,-0.187028,0.019814500000000002,0.157868,0.0696683,-0.041631699999999994,-0.0606311,0.21797399999999997,-0.128915,0.108957,-0.0349029,0.0746206,-0.0195678,-0.128401,180.0
60000.0,1,35.0,1,0,650,25,0,3,115.0,34.0,34.0,145.0,0.0247193,-0.284067,-0.0410955,-0.229924,-0.47622299999999995,-0.164656,-0.084837,0.0856503,-1.57744,0.67264,-0.205145,-0.322623,0.029445299999999997,-0.168122,-0.843223,-0.365494,-0.28278000000000003,0.004723,-0.00256446,-0.341227,0.724514,0.2391,-0.4815430000000001,-0.0156993,-0.140191,0.347535,0.572041,-0.25495,0.8277180000000001,-0.451564,-0.344051,-0.40584899999999996,1.03318,-0.11596400000000001,0.191966,-0.125573,-0.419563,-0.58217,0.582962,0.12319300000000001,-0.8565379999999999,-0.845951,0.305767,0.447583,-0.587209,0.530775,0.387727,-0.37041599999999997,0.26159899999999997,0.150572,0.0766148,-0.643147,-0.611371,0.375295,0.383748,0.09518439999999999,0.370235,0.27716,-0.436255,0.203872,0.603735,-0.39061999999999997,0.501321,0.24370999999999998,0.559029,-0.5063380000000001,0.170462,0.28199,0.314217,0.0183363,0.276194,0.0235398,0.825119,0.167767,-0.00299072,0.11709100000000001,0.012866899999999999,-0.731772,-0.329953,-0.169343,-0.16849,0.105762,-0.5506909999999999,-0.0029613000000000005,0.373309,0.037289800000000005,0.036000599999999994,-0.380919,0.111175,-0.118681,-0.118112,0.222714,0.339173,0.503744,0.36800900000000003,0.293685,0.0709959,-0.192774,-0.3652760000000001,-0.21853000000000009,154.0
200000.0,1,32.0,2,0,122,3,0,3,208.0,33.0,33.0,21.0,-0.15326099999999998,-0.7161420000000001,0.015364700000000004,-0.317239,0.041092699999999996,-0.424889,-0.322009,0.18901199999999999,-1.50357,0.629342,-0.542626,-0.344729,0.141285,-0.378633,-0.989186,-0.146803,-0.021736000000000002,-0.168962,0.0828996,0.022353599999999998,0.9680559999999999,0.0938355,-0.24301399999999998,-0.21505100000000002,0.12170999999999994,0.786147,0.641637,0.11025,0.8389459999999999,-0.366671,-0.211746,-0.575797,0.8245129999999999,0.548485,0.07695419999999999,-0.382735,-0.5802229999999999,-0.3854010000000001,0.292408,-0.24863400000000002,-1.12675,-0.5682689999999999,0.102059,0.796724,-0.416245,0.608911,0.307798,-0.403905,-0.00443557,0.194846,0.0464616,-0.5968140000000001,-0.575415,0.662569,0.592795,0.29939699999999997,0.22489,0.37240300000000004,-0.145397,-0.21292399999999997,0.87116,-0.262481,0.00384153,-0.163744,0.626207,-0.801974,-0.102702,-0.0317941,0.446539,0.26174200000000003,0.611408,0.408964,0.22021999999999997,0.0241694,-0.18995,-0.0886985,0.10273499999999999,-0.648463,-0.00486327,-0.30415,0.12045299999999999,0.230748,0.0307684,0.0889879,0.664014,-0.143073,-0.226564,-0.619757,0.07283010000000001,0.23084699999999997,0.315736,-0.0433599,0.536542,0.372225,-0.1397,0.169308,0.308324,-0.155495,-0.526303,-0.352219,137.0
